Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,3,29,420,0.558
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,4,29,420,0.635
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,5,29,420,0.618
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,6,29,420,0.66
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,7,29,420,0.626
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,8,29,420,0.668
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,9,29,420,0.649
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,10,29,420,0.65
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,1,35,420,0.611
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,2,35,420,0.623
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,3,35,420,0.613
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,4,35,420,0.62
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,5,35,420,0.623
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,6,35,420,0.653
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,7,35,420,0.627
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,8,35,420,0.613
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,9,35,420,0.605
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,10,35,420,0.647
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,1,38,420,0.499
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,2,38,420,0.437
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,3,38,420,0.432
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,4,38,420,0.403
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,5,38,420,0.454
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,6,38,420,0.453
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,7,38,420,0.476
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,8,38,420,0.436
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,9,38,420,0.457
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,10,38,420,0.462
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,1,41,420,0.002
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,2,41,420,0.006
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,3,41,420,0
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,4,41,420,0
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,5,41,420,0.003
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,6,41,420,0.002
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,7,41,420,0
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,8,41,420,0.001
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,9,41,420,0.009
DEU Zugspitze 20221113,20221113,DEU,47.42123, 10.98632,Zugspitze,Wild,Acropora germania,10,41,420,0
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,1,29,420,0.593
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,2,29,420,0.584
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,3,29,420,0.618
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,4,29,420,0.612
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,5,29,420,0.522
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,6,29,420,0.592
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,7,29,420,0.614
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,8,29,420,0.617
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,9,29,420,0.555
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,10,29,420,0.626
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,1,35,420,0.609
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,2,35,420,0.572
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,3,35,420,0.592
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,4,35,420,0.597
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,5,35,420,0.569
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,6,35,420,0.588
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,7,35,420,0.588
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,8,35,420,0.572
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,9,35,420,0.523
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,10,35,420,0.619
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,1,38,420,0.273
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,2,38,420,0.273
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,3,38,420,0.319
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,4,38,420,0.252
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,5,38,420,0.229
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,6,38,420,0.391
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,7,38,420,0.306
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,8,38,420,0.289
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,9,38,420,0.282
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,10,38,420,0.212
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,1,41,420,0.011
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,2,41,420,0
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,3,41,420,0
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,4,41,420,0
DEU Zugspitze 20221114,20221114,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,5,41,420,0
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,6,41,420,0.001
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,7,41,420,0.005
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,8,41,420,0.005
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,9,41,420,0
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Nursery,Porites germania,10,41,420,0.012
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,1,29,420,0.657
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,2,29,420,0.637
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,3,29,420,0.684
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,4,29,420,0.653
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,5,29,420,0.638
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,6,29,420,0.644
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,7,29,420,0.63
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,8,29,420,0.627
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,9,29,420,0.651
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,10,29,420,0.648
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,1,35,420,0.65
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,2,35,420,0.615
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,3,35,420,0.65
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,4,35,420,0.562
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,5,35,420,0.621
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,6,35,420,0.639
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,7,35,420,0.671
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,8,35,420,0.63
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,9,35,420,0.568
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,10,35,420,0.555
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,1,38,420,0.506
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,2,38,420,0.415
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,3,38,420,0.363
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,4,38,420,0.444
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,5,38,420,0.527
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,6,38,420,0.458
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,7,38,420,0.43
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,8,38,420,0.438
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,9,38,420,0.512
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,10,38,420,0.424
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,1,41,420,0.002
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,2,41,420,0.008
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,3,41,420,0.004
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,4,41,420,0.008
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,5,41,420,0.007
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,6,41,420,0.007
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,7,41,420,0
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,8,41,420,0.021
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,9,41,420,0.017
DEU Zugspitze 20221115,20221115,DEU,47.42123, 10.98632,Zugspitze,Wild,Porites germania,10,41,420,0.009
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,1,29,420,0.636
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,2,29,420,0.658
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,3,29,420,0.657
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,4,29,420,0.648
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,5,29,420,0.639
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,6,29,420,0.613
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,7,29,420,0.649
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,8,29,420,0.629
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,9,29,420,0.644
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,10,29,420,0.652
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,1,35,420,0.583
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,2,35,420,0.669
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,3,35,420,0.658
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,4,35,420,0.656
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,5,35,420,0.635
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,6,35,420,0.6
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,7,35,420,0.588
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,8,35,420,0.624
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,9,35,420,0.609
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,10,35,420,0.677
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,1,37,420,0.407
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,2,37,420,0.63
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,3,37,420,0.617
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,4,37,420,0.6
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,5,37,420,0.497
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,6,37,420,0.454
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,7,37,420,0.608
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,8,37,420,0.407
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,9,37,420,0.482
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,10,37,420,0.609
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,1,41,420,0
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,2,41,420,0
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,3,41,420,0
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,4,41,420,0.009
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,5,41,420,0.008
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,6,41,420,0.004
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,7,41,420,0
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,8,41,420,0
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,9,41,420,0
DEU Feldberg 20221116,20221116,DEU,47.42123, 10.98632,Feldberg,Nursery,Porites germania,10,41,420,0.008
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,1,29,420,0.646
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,2,29,420,0.65
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,3,29,420,0.643
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,4,29,420,0.659
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,5,29,420,0.658
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,6,29,420,0.669
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,7,29,420,0.688
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,8,29,420,0.67
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,9,29,420,0.658
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,10,29,420,0.692
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,1,35,420,0.668
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,2,35,420,0.638
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,3,35,420,0.654
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,4,35,420,0.679
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,5,35,420,0.652
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,6,35,420,0.675
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,7,35,420,0.678
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,8,35,420,0.681
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,9,35,420,0.68
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,10,35,420,0.687
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,1,38,420,0.466
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,2,38,420,0.488
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,3,38,420,0.509
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,4,38,420,0.503
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,5,38,420,0.481
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,6,38,420,0.397
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,7,38,420,0.282
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,8,38,420,0.499
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,9,38,420,0.395
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,10,38,420,0.186
DEU Feldberg 20221112,20221112,DEU,47.42123, 10.98632,Feldberg,Wild,Porites germania,1,41,420,0
